Date,Client Name,Activity Description,Charge hours,Leave Hrs,Total Hrs,Weeday
14-Aug-26,Astral Limited,"1. ZFORECAST new development - FS study
2. Adhesive forecast template checking with functional
3. Assumption list preparation
4. Table and field name finalization",,,8,Friday
15-Aug-26,Astral Limited,,,,,Saturday
16-Aug-26,Astral Limited,,,,,Sunday
17-Aug-26,Astral Limited,"1. ZFORECAST table creation in SE11
2. Domain and data element creation
3. Message class creation
4. Number range object creation",,,8,Monday
18-Aug-26,Astral Limited,"1. ZFORECAST class development for calculation
2. Utility class for year and quarter logic
3. Annual and quarterly data from VBRK VBRP
4. Monthly data from MATDOC",,,8,Tuesday
19-Aug-26,Astral Limited,"1. ZFORECAST upload program development
2. Template download option added
3. ALV report development
4. Assumption and query document sent to functional",,,8,Wednesday
20-Aug-26,Astral Limited,"1. New forecast template received - changes discussion
2. Old and new template comparison
3. ZFORECAST version 2 rework started
4. Screen removed and ALV changed to SALV",,,8,Thursday
21-Aug-26,Astral Limited,"1. ZFORECAST v2 class rework
2. ZFCST, ZFCST_RPT and ZFCST_UPL tcode creation
3. VBRP SHKZG sign checking in system
4. TDS Clause 34 FS received - study",,,8,Friday
22-Aug-26,Astral Limited,,,,,Saturday
23-Aug-26,Astral Limited,,,,,Sunday
24-Aug-26,Astral Limited,"1. ZMM_PO_BUDGET - scheduling agreement part started
2. ME31L and ME32L debugging for BAdI check
3. SAPMM06E enhancement point finding
4. SA value field debugging and analysis",,,8,Monday
25-Aug-26,Astral Limited,"1. SA budget check code added in SAPMM06E
2. PO budget check code added in BAdI
3. Budget table and message class creation
4. Table maintenance event and screen module",,,8,Tuesday
26-Aug-26,Astral Limited,"1. ZFI_TDS_CL34 new report development
2. Selection screen and include creation
3. TDS data fetching from WITH_ITEM BKPF BSEG
4. GL account derivation logic",,,8,Wednesday
27-Aug-26,Astral Limited,"1. ZFI_TDS_CL34 authorization check added
2. Activation errors solving
3. Report testing with company code 1000
4. Second testing and output checking with functional",,,8,Thursday
28-Aug-26,Astral Limited,"1. ZMB5B - receipt and issue amount columns
2. Standard program logic debugging
3. Field catalog and total logic changes
4. Testing and unit wise document preparation",,,8,Friday
29-Aug-26,Astral Limited,,,,,Saturday
30-Aug-26,Astral Limited,,,,,Sunday
31-Aug-26,Astral Limited,"1. 141.A exceptional approval FS study - Adhesives
2. 141.B exceptional approval FS study - Paints
3. Query list preparation for functional
4. Table and report design discussion",,,8,Monday
,,,,,,
