package,parent_object,include,abapgit_filename
ZCFM,ZF_RESET_CLEARING,ZF_RESET_CLEARING,zf_reset_clearing.prog.abap
ZCO_PCA,Z_CORR_PRCTR,Z_CORR_PRCTR,z_corr_prctr.prog.abap
ZCO_PCA,Z_CORR_PRCTR2,Z_CORR_PRCTR2,z_corr_prctr2.prog.abap
ZCO_PCA,Z_CORR_PRCTR_OVL,Z_CORR_PRCTR_OVL,z_corr_prctr_ovl.prog.abap
ZEHS_OH,ZPME_SFORM_REPORT,ZPME_SFORM_REPORT,zpme_sform_report.prog.abap
ZFI_AR,Z_REVERSE_CLEARING,Z_REVERSE_CLEARING,z_reverse_clearing.prog.abap
ZFI_GL,ZFCLEAR,ZFCLEAR,zfclear.prog.abap
ZFI_GL,ZF_CHECK_OI_BALANCE_EXT,ZF_CHECK_OI_BALANCE_EXT,zf_check_oi_balance_ext.prog.abap
ZFI_GL,ZF_FILL_MISSING_AUGGJ_NGLM,ZF_FILL_MISSING_AUGGJ_NGLM,zf_fill_missing_auggj_nglm.prog.abap
ZFI_GL,ZF_RESET_CLR,ZF_RESET_CLR,zf_reset_clr.prog.abap
ZFI_OTH,SAPMZFI_VPAN_MAINTAIN,SAPMZFI_VPAN_MAINTAINO,sapmzfi_vpan_maintaino.prog.abap
ZFI_OTH,SAPMZFI_VPAN_MAINTAIN_BAK,SAPMZFI_VPAN_MAINTAINO_BAK,sapmzfi_vpan_maintaino_bak.prog.abap
ZFI_OTH,ZFI_BCM_REJREC,ZFI_BCM_REJREC,zfi_bcm_rejrec.prog.abap
ZFI_OTH,ZFI_CHNG_PYBLCK,ZFI_CHNG_PYBLCK,zfi_chng_pyblck.prog.abap
ZFI_OTH,ZFI_CHNG_PYBLCKD,ZFI_CHNG_PYBLCKD,zfi_chng_pyblckd.prog.abap
ZFI_OTH,ZFI_CP_MASS_VEN_PAY,ZFI_CP_MAS_VEN_E0001,zfi_cp_mas_ven_e0001.prog.abap
ZFI_OTH,ZFI_JV_TB,ZFI_JV_TB,zfi_jv_tb.prog.abap
ZFI_OTH,ZFI_REM_PYBLCK,ZFI_REM_PYBLCK,zfi_rem_pyblck.prog.abap
ZFI_OTH,ZFI_REP_BLOCK,ZFI_REP_BLOCK,zfi_rep_block.prog.abap
ZFI_OTH,ZFI_RFSEPA03,ZFI_RFSEPA03,zfi_rfsepa03.prog.abap
ZFI_OTH,ZFI_TAX_CAPEX_POSTING,ZFI_TAX_CAPEX_POSTING_E01,zfi_tax_capex_posting_e01.prog.abap
ZFI_OTH,ZFI_TAX_CAPEX_POSTING,ZFI_TAX_CAPEX_POSTING_F01,zfi_tax_capex_posting_f01.prog.abap
ZFI_OTH,ZFI_TAX_CREDIT_REPORT,ZFI_TAX_CREDIT_REPORT,zfi_tax_credit_report.prog.abap
